2022-04-08 ; 14:26:55 ; paypassreaders ; INFO ; ConfigureV2 ; "Запрос конфигурации ридера №10; попытка 1"
2022-04-08 ; 14:26:55 ; consoled ; INFO ; modem ; "трафик in 0  out 89 байт"
2022-04-08 ; 14:26:56 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected: NO"
2022-04-08 ; 14:26:56 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected!!!"
2022-04-08 ; 14:26:56 ; paypassreaders ; INFO ; ConfigureV2 ; "Получена конфигурация для ридера №10"
2022-04-08 ; 14:26:56 ; paypassreaders ; INFO ; ConfigureV2 ; "Ридер №10. Команд конфигурации: 0"
2022-04-08 ; 14:26:56 ; paypassreaders ; INFO ; ConfigureV2 ; "Finished!"
2022-04-08 ; 14:26:56 ; consoled ; INFO ; modem ; "трафик in 0  out 89 байт"
2022-04-08 ; 14:26:57 ; consoled ; INFO ; modem ; "трафик in 0  out 62 байт"
2022-04-08 ; 14:26:57 ; smartpayARM ; INFO ; monitoring ; "Я жив!"
2022-04-08 ; 14:26:58 ; paypassreaders ; ERROR ; btConnectToDevice ; "Timeout"
2022-04-08 ; 14:26:58 ; paypassreaders ; ERROR ; bt ; "Failed to connect to MAC 886b0ff0f424"
2022-04-08 ; 14:26:58 ; consoled ; INFO ; modem ; "трафик in 89  out 0 байт"
2022-04-08 ; 14:26:59 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:00 ; wifid ; INFO ; wifid ; "Could not find G21"
2022-04-08 ; 14:27:00 ; networkd ; INFO ; setWifiStatus ; "Old wifistate 0, new status 0, WF_done=1111111111"
2022-04-08 ; 14:27:00 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:01 ; paypassreaders ; INFO ; ConfigureV2 ; "Запрос конфигурации ридера №12; попытка 1"
2022-04-08 ; 14:27:01 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:01 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected: NO"
2022-04-08 ; 14:27:02 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected!!!"
2022-04-08 ; 14:27:02 ; paypassreaders ; INFO ; ConfigureV2 ; "Получена конфигурация для ридера №12"
2022-04-08 ; 14:27:02 ; paypassreaders ; INFO ; ConfigureV2 ; "Ридер №12. Команд конфигурации: 0"
2022-04-08 ; 14:27:02 ; paypassreaders ; INFO ; ConfigureV2 ; "Finished!"
2022-04-08 ; 14:27:02 ; paypassreaders ; INFO ; btRebootDevice ; "Перезагрузка Bluetooth: УСПЕХ"
2022-04-08 ; 14:27:02 ; gprssender ; ERROR ; openConnection ; "Ошибка соединения: Socket operation timed out"
2022-04-08 ; 14:27:02 ; smartpayARM ; INFO ; internetd ; "Я жив!"
2022-04-08 ; 14:27:02 ; paypassreaders ; INFO ; GPRS ; "GPRS status changed to ON"
2022-04-08 ; 14:27:02 ; paypassreaders ; INFO ; bt ; "Connecting to MAC 886b0ff0f424"
2022-04-08 ; 14:27:02 ; consoled ; INFO ; modem ; "трафик in 778  out 577 байт"
2022-04-08 ; 14:27:03 ; paypassreaders ; INFO ; tryConnectErizo ; "connected = NO"
2022-04-08 ; 14:27:03 ; paypassreaders ; INFO ; tryConnectErizo ; "connected!!!"
2022-04-08 ; 14:27:03 ; paypassreaders ; INFO ; erizoState ; "сам модуль 1, хост 1, черный список 0"
2022-04-08 ; 14:27:03 ; smartpayARM ; INFO ; paypassreaders ; "Я жив!"
2022-04-08 ; 14:27:03 ; paypassreaders ; INFO ; queryTime ; "183"
2022-04-08 ; 14:27:03 ; lapbManager ; INFO ; monitoring ; "Мониторинг не отвечает"
2022-04-08 ; 14:27:03 ; smartpayARM ; INFO ; startErizo ; "Я жив!"
2022-04-08 ; 14:27:03 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:04 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:05 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:06 ; gprssender ; INFO ; gprssender ; "gprs is working"
2022-04-08 ; 14:27:06 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:07 ; gprssender ; INFO ; PingAS ; "Опрос СОД"
2022-04-08 ; 14:27:07 ; gprssender ; INFO ; openConnection ; "Соединяемся с узлом (debt.orgp.spb.ru:5000)"
2022-04-08 ; 14:27:07 ; paypassreaders ; ERROR ; btConnectToDevice ; "Timeout"
2022-04-08 ; 14:27:07 ; paypassreaders ; ERROR ; bt ; "Failed to connect to MAC 886b0ff0f424"
2022-04-08 ; 14:27:07 ; consoled ; INFO ; modem ; "трафик in 0  out 133 байт"
2022-04-08 ; 14:27:07 ; paypassreaders ; INFO ; ConfigureV2 ; "Запрос конфигурации ридера №10; попытка 1"
2022-04-08 ; 14:27:07 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected: NO"
2022-04-08 ; 14:27:07 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected!!!"
2022-04-08 ; 14:27:08 ; paypassreaders ; INFO ; ConfigureV2 ; "Получена конфигурация для ридера №10"
2022-04-08 ; 14:27:08 ; paypassreaders ; INFO ; ConfigureV2 ; "Ридер №10. Команд конфигурации: 0"
2022-04-08 ; 14:27:08 ; paypassreaders ; INFO ; ConfigureV2 ; "Finished!"
2022-04-08 ; 14:27:08 ; consoled ; INFO ; modem ; "трафик in 294  out 0 байт"
2022-04-08 ; 14:27:09 ; wifid ; INFO ; wifid ; "Could not find G21"
2022-04-08 ; 14:27:09 ; networkd ; INFO ; setWifiStatus ; "Old wifistate 0, new status 0, WF_done=1111111111"
2022-04-08 ; 14:27:09 ; smartpayARM ; INFO ; wifid ; "Я жив!"
2022-04-08 ; 14:27:09 ; gprssender ; INFO ; openConnection ; "Соединение установлено"
2022-04-08 ; 14:27:09 ; consoled ; INFO ; modem ; "трафик in 69  out 283 байт"
2022-04-08 ; 14:27:10 ; gprssender ; ERROR ; sendPacket ; "The remote host closed the connection"
2022-04-08 ; 14:27:10 ; gprssender ; ERROR ; PingAS ; "СОД не отвечает. Прошло 19813 сек"
2022-04-08 ; 14:27:10 ; consoled ; INFO ; modem ; "трафик in 134  out 89 байт"
2022-04-08 ; 14:27:11 ; paypassreaders ; INFO ; btRebootDevice ; "Перезагрузка Bluetooth: УСПЕХ"
2022-04-08 ; 14:27:11 ; paypassreaders ; INFO ; bt ; "Connecting to MAC 886b0ff0f424"
2022-04-08 ; 14:27:11 ; consoled ; INFO ; modem ; "трафик in 178  out 89 байт"
2022-04-08 ; 14:27:12 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:13 ; paypassreaders ; INFO ; tryConnectErizo ; "connected = NO"
2022-04-08 ; 14:27:13 ; paypassreaders ; INFO ; tryConnectErizo ; "connected!!!"
2022-04-08 ; 14:27:13 ; paypassreaders ; INFO ; erizoState ; "сам модуль 1, хост 1, черный список 0"
2022-04-08 ; 14:27:13 ; paypassreaders ; INFO ; queryTime ; "156"
2022-04-08 ; 14:27:13 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:13 ; paypassreaders ; INFO ; ConfigureV2 ; "Запрос конфигурации ридера №10; попытка 1"
2022-04-08 ; 14:27:14 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected: NO"
2022-04-08 ; 14:27:14 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected!!!"
2022-04-08 ; 14:27:14 ; paypassreaders ; INFO ; ConfigureV2 ; "Получена конфигурация для ридера №10"
2022-04-08 ; 14:27:14 ; paypassreaders ; INFO ; ConfigureV2 ; "Ридер №10. Команд конфигурации: 0"
2022-04-08 ; 14:27:14 ; paypassreaders ; INFO ; ConfigureV2 ; "Finished!"
2022-04-08 ; 14:27:14 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:15 ; router ; INFO ; geo ; "Пришла координата: $GPRMC,112715.000,A,5951.23521,N,03029.44545,E,42.1,263.7,080422,,,A*57"
