;0;1;5
37288;2022-04-08 ; 06:06:20 ;" ""Пришла координата: $GPRMC,030620.000,A,6002.22806,N,03019.38085,E,0.1,0.0,080422,,,A*63"""
37382;2022-04-08 ; 06:06:45 ;" ""Пришла координата: $GPRMC,030645.000,A,6002.20442,N,03019.35979,E,13.9,209.7,080422,,,A*5F"""
37487;2022-04-08 ; 06:07:10 ;" ""Пришла координата: $GPRMC,030710.000,A,6002.18944,N,03019.34480,E,0.0,0.0,080422,,,A*63"""
37579;2022-04-08 ; 06:07:35 ;" ""Пришла координата: $GPRMC,030735.000,A,6002.18976,N,03019.34461,E,0.1,0.0,080422,,,A*6B"""
37678;2022-04-08 ; 06:08:00 ;" ""Пришла координата: $GPRMC,030800.000,A,6002.18976,N,03019.34461,E,0.0,0.0,080422,,,A*63"""
37767;2022-04-08 ; 06:08:25 ;" ""Пришла координата: $GPRMC,030825.000,A,6002.15428,N,03019.31525,E,16.2,200.9,080422,,,A*55"""
37858;2022-04-08 ; 06:08:50 ;" ""Пришла координата: $GPRMC,030850.000,A,6002.09466,N,03019.23265,E,14.5,354.1,080422,,,A*5D"""
37951;2022-04-08 ; 06:09:15 ;" ""Пришла координата: $GPRMC,030915.000,A,6002.12553,N,03019.22267,E,0.1,0.0,080422,,,A*61"""
38034;2022-04-08 ; 06:09:40 ;" ""Пришла координата: $GPRMC,030940.000,A,6002.12553,N,03019.22267,E,0.0,0.0,080422,,,A*60"""
38124;2022-04-08 ; 06:10:05 ;" ""Пришла координата: $GPRMC,031005.000,A,6002.12560,N,03019.22295,E,0.0,0.0,080422,,,A*64"""
38207;2022-04-08 ; 06:10:30 ;" ""Пришла координата: $GPRMC,031030.000,A,6002.12590,N,03019.22304,E,0.0,0.0,080422,,,A*64"""
38300;2022-04-08 ; 06:10:55 ;" ""Пришла координата: $GPRMC,031055.000,A,6002.12590,N,03019.22304,E,0.1,0.0,080422,,,A*66"""
38391;2022-04-08 ; 06:11:20 ;" ""Пришла координата: $GPRMC,031120.000,A,6002.12616,N,03019.22282,E,0.1,0.0,080422,,,A*67"""
38484;2022-04-08 ; 06:11:45 ;" ""Пришла координата: $GPRMC,031145.000,A,6002.12616,N,03019.22300,E,0.0,0.0,080422,,,A*6E"""
38567;2022-04-08 ; 06:12:10 ;" ""Пришла координата: $GPRMC,031210.000,A,6002.12616,N,03019.22300,E,0.1,0.0,080422,,,A*6C"""
38652;2022-04-08 ; 06:12:35 ;" ""Пришла координата: $GPRMC,031235.000,A,6002.12630,N,03019.22337,E,0.1,0.0,080422,,,A*6B"""
38739;2022-04-08 ; 06:13:00 ;" ""Пришла координата: $GPRMC,031300.000,A,6002.12630,N,03019.22337,E,0.0,0.0,080422,,,A*6D"""
38831;2022-04-08 ; 06:13:25 ;" ""Пришла координата: $GPRMC,031325.000,A,6002.12642,N,03019.22285,E,0.0,0.0,080422,,,A*67"""
38925;2022-04-08 ; 06:13:50 ;" ""Пришла координата: $GPRMC,031350.000,A,6002.12680,N,03019.22283,E,0.1,0.0,080422,,,A*6C"""
39010;2022-04-08 ; 06:14:15 ;" ""Пришла координата: $GPRMC,031415.000,A,6002.12680,N,03019.22283,E,0.1,0.0,080422,,,A*6A"""
39096;2022-04-08 ; 06:14:40 ;" ""Пришла координата: $GPRMC,031440.000,A,6002.12666,N,03019.22316,E,0.0,0.0,080422,,,A*6E"""
39188;2022-04-08 ; 06:15:05 ;" ""Пришла координата: $GPRMC,031505.000,A,6002.12691,N,03019.22351,E,0.1,0.0,080422,,,A*64"""
39272;2022-04-08 ; 06:15:30 ;" ""Пришла координата: $GPRMC,031530.000,A,6002.12691,N,03019.22351,E,0.0,0.0,080422,,,A*63"""
39364;2022-04-08 ; 06:15:55 ;" ""Пришла координата: $GPRMC,031555.000,A,6002.12696,N,03019.22364,E,0.1,0.0,080422,,,A*60"""
39452;2022-04-08 ; 06:16:20 ;" ""Пришла координата: $GPRMC,031620.000,A,6002.15073,N,03019.20819,E,19.9,349.8,080422,,,A*5E"""
39544;2022-04-08 ; 06:16:45 ;" ""Пришла координата: $GPRMC,031645.000,A,6002.21965,N,03019.17594,E,0.2,0.0,080422,,,A*6D"""
39630;2022-04-08 ; 06:17:10 ;" ""Пришла координата: $GPRMC,031710.000,A,6002.22010,N,03019.17520,E,3.4,334.8,080422,,,A*62"""
39716;2022-04-08 ; 06:17:35 ;" ""Пришла координата: $GPRMC,031735.000,A,6002.37968,N,03019.07427,E,31.2,345.0,080422,,,A*59"""
39806;2022-04-08 ; 06:18:00 ;" ""Пришла координата: $GPRMC,031800.000,A,6002.57093,N,03018.96407,E,25.8,343.4,080422,,,A*5D"""
39890;2022-04-08 ; 06:18:25 ;" ""Пришла координата: $GPRMC,031825.000,A,6002.60710,N,03018.94106,E,0.0,0.0,080422,,,A*6B"""
39984;2022-04-08 ; 06:18:50 ;" ""Пришла координата: $GPRMC,031850.000,A,6002.66107,N,03018.91018,E,27.4,343.7,080422,,,A*56"""
40069;2022-04-08 ; 06:19:15 ;" ""Пришла координата: $GPRMC,031915.000,A,6002.88945,N,03018.77715,E,34.1,343.4,080422,,,A*5E"""
40152;2022-04-08 ; 06:19:40 ;" ""Пришла координата: $GPRMC,031940.000,A,6003.02336,N,03018.69552,E,13.8,344.7,080422,,,A*55"""
40244;2022-04-08 ; 06:20:05 ;" ""Пришла координата: $GPRMC,032005.000,A,6003.19246,N,03018.59623,E,30.5,343.7,080422,,,A*5F"""
40330;2022-04-08 ; 06:20:30 ;" ""Пришла координата: $GPRMC,032030.000,A,6003.40384,N,03018.47107,E,33.6,340.8,080422,,,A*58"""
40423;2022-04-08 ; 06:20:55 ;" ""Пришла координата: $GPRMC,032055.000,A,6003.54637,N,03018.37334,E,0.2,0.0,080422,,,A*6D"""
40513;2022-04-08 ; 06:21:20 ;" ""Пришла координата: $GPRMC,032120.000,A,6003.59215,N,03018.32878,E,22.7,332.4,080422,,,A*52"""
40622;2022-04-08 ; 06:21:45 ;" ""Пришла координата: $GPRMC,032145.000,A,6003.73804,N,03018.22665,E,0.1,0.0,080422,,,A*60"""
40714;2022-04-08 ; 06:22:10 ;" ""Пришла координата: $GPRMC,032210.000,A,6003.73804,N,03018.22665,E,0.1,0.0,080422,,,A*63"""
40813;2022-04-08 ; 06:22:35 ;" ""Пришла координата: $GPRMC,032235.000,A,6003.77789,N,03018.20147,E,3.4,337.5,080422,,,A*6B"""
40928;2022-04-08 ; 06:23:00 ;" ""Пришла координата: $GPRMC,032300.000,A,6003.84525,N,03018.14109,E,28.7,339.0,080422,,,A*58"""
41022;2022-04-08 ; 06:23:25 ;" ""Пришла координата: $GPRMC,032325.000,A,6004.03202,N,03017.88952,E,30.9,316.7,080422,,,A*54"""
41129;2022-04-08 ; 06:23:50 ;" ""Пришла координата: $GPRMC,032350.000,A,6004.16601,N,03017.52914,E,32.4,308.8,080422,,,A*5F"""
41225;2022-04-08 ; 06:24:15 ;" ""Пришла координата: $GPRMC,032415.000,A,6004.31371,N,03017.13607,E,35.5,306.9,080422,,,A*5F"""
41305;2022-04-08 ; 06:24:40 ;" ""Пришла координата: $GPRMC,032440.000,A,6004.46595,N,03016.73041,E,36.2,307.0,080422,,,A*5C"""
41390;2022-04-08 ; 06:25:05 ;" ""Пришла координата: $GPRMC,032505.000,A,6004.60812,N,03016.34823,E,37.2,306.4,080422,,,A*51"""
41476;2022-04-08 ; 06:25:30 ;" ""Пришла координата: $GPRMC,032530.000,A,6004.76913,N,03015.94074,E,34.8,314.8,080422,,,A*55"""
41581;2022-04-08 ; 06:25:55 ;" ""Пришла координата: $GPRMC,032555.000,A,6004.96655,N,03015.84336,E,29.2,2.1,080422,,,A*5A"""
41680;2022-04-08 ; 06:26:20 ;" ""Пришла координата: $GPRMC,032620.000,A,6005.02814,N,03015.82597,E,2.4,345.6,080422,,,A*6F"""
41784;2022-04-08 ; 06:26:45 ;" ""Пришла координата: $GPRMC,032645.000,A,6005.19389,N,03015.70513,E,33.0,340.0,080422,,,A*5D"""
41881;2022-04-08 ; 06:27:10 ;" ""Пришла координата: $GPRMC,032710.000,A,6005.41177,N,03015.54211,E,31.9,339.7,080422,,,A*53"""
41973;2022-04-08 ; 06:27:35 ;" ""Пришла координата: $GPRMC,032735.000,A,6005.60526,N,03015.40230,E,33.9,340.7,080422,,,A*5D"""
42077;2022-04-08 ; 06:28:00 ;" ""Пришла координата: $GPRMC,032800.000,A,6005.85215,N,03015.21646,E,40.0,339.2,080422,,,A*5C"""
42177;2022-04-08 ; 06:28:25 ;" ""Пришла координата: $GPRMC,032825.000,A,6006.10200,N,03015.02542,E,37.2,338.9,080422,,,A*5E"""
42277;2022-04-08 ; 06:28:50 ;" ""Пришла координата: $GPRMC,032850.000,A,6006.29734,N,03014.87923,E,17.3,344.0,080422,,,A*52"""
42377;2022-04-08 ; 06:29:15 ;" ""Пришла координата: $GPRMC,032915.000,A,6006.38382,N,03014.79999,E,30.9,335.8,080422,,,A*5A"""
42473;2022-04-08 ; 06:29:40 ;" ""Пришла координата: $GPRMC,032940.000,A,6006.60777,N,03014.59677,E,37.4,336.3,080422,,,A*56"""
42578;2022-04-08 ; 06:30:05 ;" ""Пришла координата: $GPRMC,033005.000,A,6006.79946,N,03014.42545,E,9.9,339.0,080422,,,A*6F"""
42671;2022-04-08 ; 06:30:30 ;" ""Пришла координата: $GPRMC,033030.000,A,6006.80388,N,03014.42101,E,0.1,0.0,080422,,,A*6B"""
42774;2022-04-08 ; 06:30:55 ;" ""Пришла координата: $GPRMC,033055.000,A,6006.81532,N,03014.38040,E,14.3,267.9,080422,,,A*5A"""
42875;2022-04-08 ; 06:31:20 ;" ""Пришла координата: $GPRMC,033120.000,A,6006.82323,N,03014.01868,E,32.3,273.9,080422,,,A*55"""
42979;2022-04-08 ; 06:31:45 ;" ""Пришла координата: $GPRMC,033145.000,A,6006.83997,N,03013.55545,E,34.6,281.6,080422,,,A*57"""
43075;2022-04-08 ; 06:32:10 ;" ""Пришла координата: $GPRMC,033210.000,A,6006.91196,N,03013.06170,E,37.1,289.2,080422,,,A*52"""
43171;2022-04-08 ; 06:32:35 ;" ""Пришла координата: $GPRMC,033235.000,A,6006.99637,N,03012.58903,E,39.0,290.1,080422,,,A*53"""
43272;2022-04-08 ; 06:33:00 ;" ""Пришла координата: $GPRMC,033300.000,A,6007.02574,N,03012.02259,E,38.4,273.3,080422,,,A*52"""
43367;2022-04-08 ; 06:33:25 ;" ""Пришла координата: $GPRMC,033325.000,A,6007.03780,N,03011.53012,E,34.6,273.2,080422,,,A*58"""
43477;2022-04-08 ; 06:33:50 ;" ""Пришла координата: $GPRMC,033350.000,A,6007.04385,N,03011.26730,E,24.2,273.2,080422,,,A*5C"""
43570;2022-04-08 ; 06:34:15 ;" ""Пришла координата: $GPRMC,033415.000,A,6007.08234,N,03010.89607,E,28.5,290.9,080422,,,A*51"""
43666;2022-04-08 ; 06:34:40 ;" ""Пришла координата: $GPRMC,033440.000,A,6007.15056,N,03010.56265,E,25.4,292.7,080422,,,A*59"""
43769;2022-04-08 ; 06:35:05 ;" ""Пришла координата: $GPRMC,033505.000,A,6007.21925,N,03010.22402,E,26.0,292.1,080422,,,A*56"""
43858;2022-04-08 ; 06:35:30 ;" ""Пришла координата: $GPRMC,033530.000,A,6007.29106,N,03009.89876,E,26.0,307.3,080422,,,A*58"""
43963;2022-04-08 ; 06:35:55 ;" ""Пришла координата: $GPRMC,033555.000,A,6007.42669,N,03009.67390,E,18.7,322.9,080422,,,A*5C"""
44067;2022-04-08 ; 06:36:20 ;" ""Пришла координата: $GPRMC,033620.000,A,6007.44765,N,03009.64115,E,6.9,319.9,080422,,,A*63"""
44172;2022-04-08 ; 06:36:45 ;" ""Пришла координата: $GPRMC,033645.000,A,6007.37235,N,03009.43067,E,31.3,232.9,080422,,,A*53"""
44262;2022-04-08 ; 06:37:10 ;" ""Пришла координата: $GPRMC,033710.000,A,6007.30543,N,03009.26202,E,4.0,232.1,080422,,,A*6C"""
44359;2022-04-08 ; 06:37:35 ;" ""Пришла координата: $GPRMC,033735.000,A,6007.21366,N,03009.02306,E,25.9,231.5,080422,,,A*54"""
44460;2022-04-08 ; 06:38:00 ;" ""Пришла координата: $GPRMC,033800.000,A,6007.14136,N,03008.83384,E,5.6,239.0,080422,,,A*6E"""
44560;2022-04-08 ; 06:38:25 ;" ""Пришла координата: $GPRMC,033825.000,A,6007.13841,N,03008.82634,E,0.1,0.0,080422,,,A*62"""
44667;2022-04-08 ; 06:38:50 ;" ""Пришла координата: $GPRMC,033850.000,A,6007.11720,N,03008.84931,E,0.1,0.0,080422,,,A*66"""
44762;2022-04-08 ; 06:39:15 ;" ""Пришла координата: $GPRMC,033915.000,A,6007.11720,N,03008.84931,E,0.1,0.0,080422,,,A*66"""
44856;2022-04-08 ; 06:39:40 ;" ""Пришла координата: $GPRMC,033940.000,A,6007.11745,N,03008.84878,E,0.1,0.0,080422,,,A*69"""
44961;2022-04-08 ; 06:40:05 ;" ""Пришла координата: $GPRMC,034005.000,A,6007.11723,N,03008.84865,E,0.1,0.0,080422,,,A*6A"""
45056;2022-04-08 ; 06:40:30 ;" ""Пришла координата: $GPRMC,034030.000,A,6007.11723,N,03008.84865,E,0.0,0.0,080422,,,A*6D"""
45162;2022-04-08 ; 06:40:55 ;" ""Пришла координата: $GPRMC,034055.000,A,6007.11714,N,03008.84944,E,0.1,0.0,080422,,,A*69"""
45264;2022-04-08 ; 06:41:20 ;" ""Пришла координата: $GPRMC,034120.000,A,6007.11714,N,03008.84944,E,0.1,0.0,080422,,,A*6A"""
45365;2022-04-08 ; 06:41:45 ;" ""Пришла координата: $GPRMC,034145.000,A,6007.11687,N,03008.84936,E,0.0,0.0,080422,,,A*66"""
45457;2022-04-08 ; 06:42:10 ;" ""Пришла координата: $GPRMC,034210.000,A,6007.11699,N,03008.84918,E,0.1,0.0,080422,,,A*67"""
45557;2022-04-08 ; 06:42:35 ;" ""Пришла координата: $GPRMC,034235.000,A,6007.11699,N,03008.84918,E,0.0,0.0,080422,,,A*61"""
45664;2022-04-08 ; 06:43:00 ;" ""Пришла координата: $GPRMC,034300.000,A,6007.11686,N,03008.84929,E,0.1,0.0,080422,,,A*6B"""
45759;2022-04-08 ; 06:43:25 ;" ""Пришла координата: $GPRMC,034325.000,A,6007.11697,N,03008.84962,E,0.0,0.0,080422,,,A*62"""
45860;2022-04-08 ; 06:43:50 ;" ""Пришла координата: $GPRMC,034350.000,A,6007.11697,N,03008.84962,E,0.1,0.0,080422,,,A*61"""
45961;2022-04-08 ; 06:44:15 ;" ""Пришла координата: $GPRMC,034415.000,A,6007.11712,N,03008.84934,E,0.0,0.0,080422,,,A*69"""
46060;2022-04-08 ; 06:44:40 ;" ""Пришла координата: $GPRMC,034440.000,A,6007.11712,N,03008.84934,E,0.1,0.0,080422,,,A*68"""
46164;2022-04-08 ; 06:45:05 ;" ""Пришла координата: $GPRMC,034505.000,A,6007.11702,N,03008.84955,E,0.1,0.0,080422,,,A*6E"""
46260;2022-04-08 ; 06:45:30 ;" ""Пришла координата: $GPRMC,034530.000,A,6007.11709,N,03008.84932,E,0.0,0.0,080422,,,A*63"""
46360;2022-04-08 ; 06:45:55 ;" ""Пришла координата: $GPRMC,034555.000,A,6007.11709,N,03008.84932,E,0.0,0.0,080422,,,A*60"""
46458;2022-04-08 ; 06:46:20 ;" ""Пришла координата: $GPRMC,034620.000,A,6007.11717,N,03008.85005,E,0.0,0.0,080422,,,A*62"""
46564;2022-04-08 ; 06:46:45 ;" ""Пришла координата: $GPRMC,034645.000,A,6007.11701,N,03008.85120,E,0.1,0.0,080422,,,A*61"""
46663;2022-04-08 ; 06:47:10 ;" ""Пришла координата: $GPRMC,034710.000,A,6007.11701,N,03008.85120,E,0.0,0.0,080422,,,A*61"""
46758;2022-04-08 ; 06:47:35 ;" ""Пришла координата: $GPRMC,034735.000,A,6007.11697,N,03008.85131,E,0.0,0.0,080422,,,A*68"""
46858;2022-04-08 ; 06:48:00 ;" ""Пришла координата: $GPRMC,034800.000,A,6007.11697,N,03008.85131,E,0.0,0.0,080422,,,A*61"""
46959;2022-04-08 ; 06:48:25 ;" ""Пришла координата: $GPRMC,034825.000,A,6007.11694,N,03008.85087,E,0.1,0.0,080422,,,A*68"""
47063;2022-04-08 ; 06:48:50 ;" ""Пришла координата: $GPRMC,034850.000,A,6007.11686,N,03008.85078,E,0.0,0.0,080422,,,A*68"""
47161;2022-04-08 ; 06:49:15 ;" ""Пришла координата: $GPRMC,034915.000,A,6007.11686,N,03008.85078,E,0.0,0.0,080422,,,A*68"""
47257;2022-04-08 ; 06:49:40 ;" ""Пришла координата: $GPRMC,034940.000,A,6007.11668,N,03008.85163,E,0.1,0.0,080422,,,A*62"""
47361;2022-04-08 ; 06:50:05 ;" ""Пришла координата: $GPRMC,035005.000,A,6007.11656,N,03008.85197,E,0.0,0.0,080422,,,A*6C"""
47455;2022-04-08 ; 06:50:30 ;" ""Пришла координата: $GPRMC,035030.000,A,6007.11656,N,03008.85197,E,0.0,0.0,080422,,,A*6A"""
47564;2022-04-08 ; 06:50:56 ;" ""Пришла координата: $GPRMC,035055.000,A,6007.11638,N,03008.85150,E,0.0,0.0,080422,,,A*6A"""
47662;2022-04-08 ; 06:51:20 ;" ""Пришла координата: $GPRMC,035120.000,A,6007.11638,N,03008.85150,E,0.0,0.0,080422,,,A*69"""
47764;2022-04-08 ; 06:51:45 ;" ""Пришла координата: $GPRMC,035145.000,A,6007.11629,N,03008.85195,E,0.1,0.0,080422,,,A*62"""
47859;2022-04-08 ; 06:52:10 ;" ""Пришла координата: $GPRMC,035210.000,A,6007.11622,N,03008.85220,E,0.0,0.0,080422,,,A*66"""
47958;2022-04-08 ; 06:52:35 ;" ""Пришла координата: $GPRMC,035235.000,A,6007.12864,N,03008.86853,E,10.2,328.6,080422,,,A*5F"""
48060;2022-04-08 ; 06:53:00 ;" ""Пришла координата: $GPRMC,035300.000,A,6007.13446,N,03008.85137,E,0.1,0.0,080422,,,A*60"""
48159;2022-04-08 ; 06:53:25 ;" ""Пришла координата: $GPRMC,035325.000,A,6007.13493,N,03008.85159,E,0.0,0.0,080422,,,A*66"""
48265;2022-04-08 ; 06:53:50 ;" ""Пришла координата: $GPRMC,035350.000,A,6007.13493,N,03008.85159,E,0.1,0.0,080422,,,A*65"""
48361;2022-04-08 ; 06:54:15 ;" ""Пришла координата: $GPRMC,035415.000,A,6007.13498,N,03008.85150,E,0.1,0.0,080422,,,A*61"""
48456;2022-04-08 ; 06:54:40 ;" ""Пришла координата: $GPRMC,035440.000,A,6007.13498,N,03008.85150,E,0.1,0.0,080422,,,A*61"""
48565;2022-04-08 ; 06:55:05 ;" ""Пришла координата: $GPRMC,035505.000,A,6007.13501,N,03008.85150,E,0.1,0.0,080422,,,A*60"""
48658;2022-04-08 ; 06:55:30 ;" ""Пришла координата: $GPRMC,035530.000,A,6007.13548,N,03008.85161,E,0.2,0.0,080422,,,A*6A"""
48764;2022-04-08 ; 06:55:56 ;" ""Пришла координата: $GPRMC,035555.000,A,6007.13548,N,03008.85161,E,0.1,0.0,080422,,,A*6A"""
48859;2022-04-08 ; 06:56:20 ;" ""Пришла координата: $GPRMC,035620.000,A,6007.13555,N,03008.85185,E,0.0,0.0,080422,,,A*6C"""
48964;2022-04-08 ; 06:56:45 ;" ""Пришла координата: $GPRMC,035645.000,A,6007.13557,N,03008.85221,E,0.1,0.0,080422,,,A*61"""
49062;2022-04-08 ; 06:57:10 ;" ""Пришла координата: $GPRMC,035710.000,A,6007.13557,N,03008.85221,E,0.0,0.0,080422,,,A*61"""
49161;2022-04-08 ; 06:57:35 ;" ""Пришла координата: $GPRMC,035735.000,A,6007.13557,N,03008.85237,E,0.1,0.0,080422,,,A*60"""
49261;2022-04-08 ; 06:58:00 ;" ""Пришла координата: $GPRMC,035800.000,A,6007.13557,N,03008.85237,E,0.0,0.0,080422,,,A*68"""
49360;2022-04-08 ; 06:58:25 ;" ""Пришла координата: $GPRMC,035825.000,A,6007.13557,N,03008.85247,E,0.1,0.0,080422,,,A*69"""
49464;2022-04-08 ; 06:58:50 ;" ""Пришла координата: $GPRMC,035850.000,A,6007.13558,N,03008.85263,E,0.1,0.0,080422,,,A*62"""
49563;2022-04-08 ; 06:59:15 ;" ""Пришла координата: $GPRMC,035915.000,A,6007.13558,N,03008.85263,E,0.0,0.0,080422,,,A*63"""
49656;2022-04-08 ; 06:59:40 ;" ""Пришла координата: $GPRMC,035940.000,A,6007.13561,N,03008.85273,E,0.0,0.0,080422,,,A*68"""
49760;2022-04-08 ; 07:00:05 ;" ""Пришла координата: $GPRMC,040005.000,A,6007.13573,N,03008.85284,E,0.1,0.0,080422,,,A*68"""
49857;2022-04-08 ; 07:00:30 ;" ""Пришла координата: $GPRMC,040030.000,A,6007.13573,N,03008.85284,E,0.1,0.0,080422,,,A*6E"""
49959;2022-04-08 ; 07:00:55 ;" ""Пришла координата: $GPRMC,040055.000,A,6007.13551,N,03008.85266,E,0.1,0.0,080422,,,A*61"""
50062;2022-04-08 ; 07:01:20 ;" ""Пришла координата: $GPRMC,040120.000,A,6007.13551,N,03008.85266,E,0.1,0.0,080422,,,A*62"""
50165;2022-04-08 ; 07:01:45 ;" ""Пришла координата: $GPRMC,040145.000,A,6007.13563,N,03008.85248,E,0.1,0.0,080422,,,A*6C"""
50260;2022-04-08 ; 07:02:10 ;" ""Пришла координата: $GPRMC,040210.000,A,6007.13568,N,03008.85258,E,0.1,0.0,080422,,,A*65"""
50360;2022-04-08 ; 07:02:35 ;" ""Пришла координата: $GPRMC,040235.000,A,6007.13568,N,03008.85258,E,0.0,0.0,080422,,,A*63"""
50462;2022-04-08 ; 07:03:00 ;" ""Пришла координата: $GPRMC,040300.000,A,6007.13573,N,03008.85264,E,0.0,0.0,080422,,,A*61"""
50544;2022-04-08 ; 07:03:25 ;" ""Пришла координата: $GPRMC,040325.000,A,6007.13573,N,03008.85301,E,0.0,0.0,080422,,,A*64"""
50643;2022-04-08 ; 07:03:50 ;" ""Пришла координата: $GPRMC,040350.000,A,6007.13573,N,03008.85301,E,0.0,0.0,080422,,,A*66"""
50730;2022-04-08 ; 07:04:15 ;" ""Пришла координата: $GPRMC,040415.000,A,6007.13560,N,03008.85259,E,0.0,0.0,080422,,,A*6E"""
50812;2022-04-08 ; 07:04:40 ;" ""Пришла координата: $GPRMC,040440.000,A,6007.13560,N,03008.85259,E,0.0,0.0,080422,,,A*6E"""
50907;2022-04-08 ; 07:05:05 ;" ""Пришла координата: $GPRMC,040505.000,A,6007.13545,N,03008.85256,E,0.0,0.0,080422,,,A*66"""
50988;2022-04-08 ; 07:05:30 ;" ""Пришла координата: $GPRMC,040530.000,A,6007.13551,N,03008.85289,E,0.0,0.0,080422,,,A*67"""
51080;2022-04-08 ; 07:05:55 ;" ""Пришла координата: $GPRMC,040555.000,A,6007.13551,N,03008.85289,E,0.0,0.0,080422,,,A*64"""
51167;2022-04-08 ; 07:06:20 ;" ""Пришла координата: $GPRMC,040620.000,A,6007.13539,N,03008.85304,E,0.0,0.0,080422,,,A*6F"""
51266;2022-04-08 ; 07:06:45 ;" ""Пришла координата: $GPRMC,040645.000,A,6007.13552,N,03008.85225,E,0.0,0.0,080422,,,A*63"""
51362;2022-04-08 ; 07:07:10 ;" ""Пришла координата: $GPRMC,040710.000,A,6007.13552,N,03008.85225,E,0.1,0.0,080422,,,A*63"""
51459;2022-04-08 ; 07:07:35 ;" ""Пришла координата: $GPRMC,040735.000,A,6007.13540,N,03008.85265,E,0.0,0.0,080422,,,A*62"""
51560;2022-04-08 ; 07:08:00 ;" ""Пришла координата: $GPRMC,040800.000,A,6007.13540,N,03008.85265,E,0.0,0.0,080422,,,A*6B"""
51660;2022-04-08 ; 07:08:25 ;" ""Пришла координата: $GPRMC,040825.000,A,6007.13539,N,03008.85272,E,0.0,0.0,080422,,,A*64"""
51764;2022-04-08 ; 07:08:50 ;" ""Пришла координата: $GPRMC,040850.000,A,6007.13539,N,03008.85226,E,0.0,0.0,080422,,,A*67"""
51866;2022-04-08 ; 07:09:15 ;" ""Пришла координата: $GPRMC,040915.000,A,6007.13539,N,03008.85226,E,0.1,0.0,080422,,,A*66"""
51954;2022-04-08 ; 07:09:40 ;" ""Пришла координата: $GPRMC,040940.000,A,6007.13559,N,03008.85249,E,0.0,0.0,080422,,,A*68"""
52061;2022-04-08 ; 07:10:05 ;" ""Пришла координата: $GPRMC,041005.000,A,6007.13531,N,03008.85240,E,0.1,0.0,080422,,,A*67"""
52157;2022-04-08 ; 07:10:30 ;" ""Пришла координата: $GPRMC,041030.000,A,6007.13531,N,03008.85240,E,0.0,0.0,080422,,,A*60"""
52262;2022-04-08 ; 07:10:55 ;" ""Пришла координата: $GPRMC,041055.000,A,6007.13506,N,03008.85247,E,0.0,0.0,080422,,,A*60"""
52358;2022-04-08 ; 07:11:20 ;" ""Пришла координата: $GPRMC,041120.000,A,6007.13506,N,03008.85247,E,0.0,0.0,080422,,,A*63"""
52462;2022-04-08 ; 07:11:45 ;" ""Пришла координата: $GPRMC,041145.000,A,6007.13488,N,03008.85212,E,0.0,0.0,080422,,,A*67"""
52561;2022-04-08 ; 07:12:10 ;" ""Пришла координата: $GPRMC,041210.000,A,6007.13509,N,03008.85197,E,0.0,0.0,080422,,,A*62"""
52658;2022-04-08 ; 07:12:35 ;" ""Пришла координата: $GPRMC,041235.000,A,6007.13509,N,03008.85197,E,0.0,0.0,080422,,,A*65"""
52758;2022-04-08 ; 07:13:00 ;" ""Пришла координата: $GPRMC,041300.000,A,6007.13511,N,03008.85125,E,0.1,0.0,080422,,,A*63"""
52854;2022-04-08 ; 07:13:25 ;" ""Пришла координата: $GPRMC,041325.000,A,6007.13508,N,03008.85099,E,0.1,0.0,080422,,,A*6A"""
52956;2022-04-08 ; 07:13:50 ;" ""Пришла координата: $GPRMC,041350.000,A,6007.13508,N,03008.85099,E,0.0,0.0,080422,,,A*69"""
53057;2022-04-08 ; 07:14:15 ;" ""Пришла координата: $GPRMC,041415.000,A,6007.13525,N,03008.85058,E,0.0,0.0,080422,,,A*6D"""
53152;2022-04-08 ; 07:14:40 ;" ""Пришла координата: $GPRMC,041440.000,A,6007.13525,N,03008.85058,E,0.1,0.0,080422,,,A*6C"""
53258;2022-04-08 ; 07:15:05 ;" ""Пришла координата: $GPRMC,041505.000,A,6007.13550,N,03008.85032,E,0.0,0.0,080422,,,A*63"""
53348;2022-04-08 ; 07:15:30 ;" ""Пришла координата: $GPRMC,041530.000,A,6007.13544,N,03008.85047,E,0.0,0.0,080422,,,A*62"""
53451;2022-04-08 ; 07:15:55 ;" ""Пришла координата: $GPRMC,041555.000,A,6007.13544,N,03008.85047,E,0.1,0.0,080422,,,A*60"""
53557;2022-04-08 ; 07:16:20 ;" ""Пришла координата: $GPRMC,041620.000,A,6007.13550,N,03008.85013,E,0.0,0.0,080422,,,A*64"""
53659;2022-04-08 ; 07:16:45 ;" ""Пришла координата: $GPRMC,041645.000,A,6007.13532,N,03008.84998,E,0.0,0.0,080422,,,A*68"""
53751;2022-04-08 ; 07:17:10 ;" ""Пришла координата: $GPRMC,041710.000,A,6007.13532,N,03008.84998,E,0.0,0.0,080422,,,A*69"""
53847;2022-04-08 ; 07:17:35 ;" ""Пришла координата: $GPRMC,041735.000,A,6007.13522,N,03008.84981,E,0.0,0.0,080422,,,A*67"""
53948;2022-04-08 ; 07:18:00 ;" ""Пришла координата: $GPRMC,041800.000,A,6007.13522,N,03008.84981,E,0.0,0.0,080422,,,A*6E"""
54047;2022-04-08 ; 07:18:25 ;" ""Пришла координата: $GPRMC,041825.000,A,6007.13539,N,03008.85073,E,0.0,0.0,080422,,,A*66"""
